"","kgut","GFR_base","eta_ptKreab_base","eta_LoHKreab","eta_ptKreab_highK","dtKsec_eq","A_dtKsec","B_dtKsec","alpha_TGF","A_cdKreab","ALD_eq","m_K_ALDO","FF","A_insulin","B_insulin","alpha_al","beta_al"
"1",2.64609335577686,-0.59720145800609,0.454421033336794,1.21497085650531,2.32918989453472,-3.19981788585934,-3.0735979433992,-3.10133180955486,0.183467159687241,5.43214757554646,-2.23046962207589,0.0923696907414384,-4.29453902314485,0,0.763886598184467,-0.1356538724181,-0.0359374635479614
"2",1.18516415171707,-0.216562677081537,0.241186213991193,0.222449018692039,0.657631408692321,-1.5225361184281,-2.85711398434069,-1.43464403462812,0.10891395459976,2.04464463316458,-0.597967923346126,0.943063668688808,-1.48181429963803,0.0945423711407983,-0.0440584025732299,0.00952834248352352,-0.0192831408931759
"3",1.21816028274035,-0.368510283054993,0.570478802678229,0.888375390939947,0.865520910528881,-2.48153475642608,-2.05929325283747,-1.57619449734564,0.482912626861376,5.12520363665065,-1.07637902501173,-0.651640301900364,-3.29342563905097,-0.150909223399092,-0.590148444502638,-0.291464281347231,-0.216330390993762
"4",2.37503455603678,-0.213066467448267,0.294793952989027,0.622600724330887,1.42183314770873,-3.39728062697966,-4.39739929539817,-3.18890080558709,0.142657623785505,3.14660005568196,-0.799755010252018,1.52693261224949,-3.49019546223706,0.355357901506372,0.0195727600684603,0.016695512483269,-0.0227440080818353
"5",3.57622634011821,-0.314329842912157,0.628117964099548,0.490079736790865,0.374743284088732,-2.54946619665484,-3.28038337127265,-2.74845548504629,0.254300979553248,4.22986511702609,-0.750691035123263,0.919705287498833,-2.97854886066999,0.512127283606277,0.408317927415729,0.0201631025831006,-0.0123448125028913
"6",0.259616891360226,0.00179745006277265,0.136518352057502,0.876060107631443,2.05129529447998,-1.08598156139689,-0.880864426327079,-0.596882353237342,0.0539907647885762,0.696772905807759,-3.44283871172242,-4.34246017282858,-1.3204980756766,-0.38835359033686,-1.30838095345852,-0.35653313834552,-1.60662660886373
"7",1.47715668639309,-0.736760465991283,0.864745821752464,0.632342880166419,1.02938806308798,-3.19813005415772,-2.23098560121988,-1.56444071944431,1.12956416704891,3.44577464153105,-1.31475760260274,0.0307810077107473,-1.50952420183695,0.298994647078483,-0.231167948792974,0.188415460671105,-0.163257980598199
"8",0.370437858259072,-0.132111884112191,0.516728929108803,1.20449493788516,3.52747699481713,-1.01673345707144,-0.52568007180267,-1.14601324089158,-0.245413602403852,2.1946892532654,-3.30928220948558,-9.71620421459066,-0.680317322639903,-0.640718286599586,-0.866926546677273,-0.814925354397705,-2.67127521496184
"9",0.588388775432013,-0.850940623667532,0.93446679995945,1.55188821611585,2.0701814652775,-1.56055263128542,-2.43197183616589,-1.48172878497887,0.0426980799242216,3.72552102856495,-0.741222030000941,-1.10164493366967,-0.821465824331705,0.0629613943883367,-0.521991698272393,-0.407490078754616,-0.68042416807812
"10",0.361365135416953,-0.199701658013822,0.20364093521803,1.40965021320914,3.3743312534593,-1.95119368262157,-1.95119367089482,-1.18483803591836,-0.308501212488999,3.64797886597701,-2.52019622429825,-4.40078107373312,-0.39254321199766,0,0,-0.366697082023499,-1.17313864602639
